user_id	movie_id	rating	genre_Action	genre_Adventure	genre_Animation	genre_Children	genre_Comedy	genre_Crime	genre_Documentary	genre_Drama	genre_Fantasy	genre_Film-Noir	genre_Horror	genre_Musical	genre_Mystery	genre_Romance	genre_Sci-Fi	genre_Thriller	genre_War	genre_Western
75	3	1.0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
75	32	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
75	110	4.0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
75	160	2.0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
75	163	4.0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
75	165	4.5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
75	173	3.5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
75	296	5.0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
75	353	3.5	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
75	420	2.0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
75	589	4.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
75	653	3.0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
75	832	4.5	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0
75	920	0.5	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
75	996	4.5	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0
75	1036	4.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
75	1127	3.5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
75	1215	4.5	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0
75	1233	4.0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
75	1304	2.5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
75	1370	4.0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
75	1374	4.0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
75	1485	4.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
75	1527	4.5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
75	1917	2.5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
75	2011	2.0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
75	2054	1.5	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0
75	2058	4.0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0
75	2490	4.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
75	2571	4.5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
75	2640	3.0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
75	2688	3.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
75	2700	4.5	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
75	2762	3.5	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0
75	2959	4.5	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0
75	3258	1.5	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
75	3793	3.0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
75	3889	3.0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
75	3994	3.5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0
75	4993	3.5	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
75	5107	3.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
75	5833	2.5	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
75	5952	3.5	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
75	6213	4.0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
75	6225	0.5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
75	6333	4.0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
75	7000	3.5	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
75	7007	4.5	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0
75	7153	3.5	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
75	32029	4.5	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0
75	32587	5.0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0
75	33437	3.5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
75	39052	3.5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
75	45431	3.5	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
75	45722	4.5	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
78	17	4.0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
78	29	4.5	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0
78	32	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
78	41	4.5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
78	82	4.0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
78	101	4.5	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
78	110	3.5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
78	111	4.0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0
78	150	4.0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
78	162	4.5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
78	198	2.5	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0
78	223	4.5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
78	235	4.0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
78	260	4.0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
78	272	5.0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
78	296	4.5	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
78	305	2.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
78	314	4.0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0
78	318	4.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
78	327	3.5	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0
78	356	3.5	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0
78	357	5.0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
78	468	3.5	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
78	480	2.5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
78	497	4.0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
78	509	4.5	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
78	515	4.0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
78	527	4.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
78	541	4.5	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0
78	562	4.5	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
78	589	4.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
78	590	4.0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
78	608	4.5	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0
78	671	4.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
78	720	4.5	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
78	728	4.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
78	741	4.5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
78	745	5.0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
78	750	5.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
78	760	4.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
78	778	5.0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
78	780	2.5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
78	800	4.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
78	858	4.0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
78	903	4.0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0
