	user_id	movie_id	rating	date_day	date_month	date_year	date_hour	date_minute	date_second	genre
0	75	3	1.0	29	10	2006	23	17	16	Comedy
1	75	3	1.0	29	10	2006	23	17	16	Romance
2	75	32	4.5	29	10	2006	23	23	44	Sci-Fi
3	75	32	4.5	29	10	2006	23	23	44	Thriller
4	78	32	5.0	7	5	2004	23	32	18	Sci-Fi
5	78	32	5.0	7	5	2004	23	32	18	Thriller
6	75	110	4.0	29	10	2006	23	30	8	Action
7	75	110	4.0	29	10	2006	23	30	8	Drama
8	75	110	4.0	29	10	2006	23	30	8	War
9	78	110	3.5	11	7	2004	11	44	24	Action
10	78	110	3.5	11	7	2004	11	44	24	Drama
11	78	110	3.5	11	7	2004	11	44	24	War
12	75	160	2.0	29	10	2006	23	16	52	Action
13	75	160	2.0	29	10	2006	23	16	52	Adventure
14	75	160	2.0	29	10	2006	23	16	52	Mystery
15	75	160	2.0	29	10	2006	23	16	52	Sci-Fi
16	75	163	4.0	29	10	2006	23	29	30	Action
17	75	163	4.0	29	10	2006	23	29	30	Romance
18	75	163	4.0	29	10	2006	23	29	30	Thriller
19	75	165	4.5	29	10	2006	23	25	15	Action
20	75	165	4.5	29	10	2006	23	25	15	Crime
21	75	165	4.5	29	10	2006	23	25	15	Thriller
22	75	173	3.5	29	10	2006	23	17	37	Action
23	75	173	3.5	29	10	2006	23	17	37	Crime
24	75	173	3.5	29	10	2006	23	17	37	Sci-Fi
25	75	296	5.0	29	10	2006	23	24	49	Comedy
26	75	296	5.0	29	10	2006	23	24	49	Crime
27	75	296	5.0	29	10	2006	23	24	49	Drama
28	78	296	4.5	8	5	2004	6	46	26	Comedy
29	78	296	4.5	8	5	2004	6	46	26	Crime
30	78	296	4.5	8	5	2004	6	46	26	Drama
31	75	353	3.5	29	10	2006	23	17	0	Action
32	75	353	3.5	29	10	2006	23	17	0	Crime
33	75	353	3.5	29	10	2006	23	17	0	Fantasy
34	75	353	3.5	29	10	2006	23	17	0	Thriller
35	75	420	2.0	29	10	2006	23	16	42	Action
36	75	420	2.0	29	10	2006	23	16	42	Comedy
37	75	420	2.0	29	10	2006	23	16	42	Crime
38	75	420	2.0	29	10	2006	23	16	42	Thriller
39	75	589	4.0	29	10	2006	23	28	21	Action
40	75	589	4.0	29	10	2006	23	28	21	Sci-Fi
41	78	589	4.0	9	7	2004	2	34	47	Action
42	78	589	4.0	9	7	2004	2	34	47	Sci-Fi
43	75	653	3.0	29	10	2006	23	17	5	Action
44	75	653	3.0	29	10	2006	23	17	5	Adventure
45	75	653	3.0	29	10	2006	23	17	5	Fantasy
46	75	832	4.5	29	10	2006	23	17	49	Action
47	75	832	4.5	29	10	2006	23	17	49	Crime
48	75	832	4.5	29	10	2006	23	17	49	Drama
49	75	832	4.5	29	10	2006	23	17	49	Thriller
50	75	920	0.5	29	10	2006	23	17	8	Drama
51	75	920	0.5	29	10	2006	23	17	8	Romance
52	75	920	0.5	29	10	2006	23	17	8	War
53	75	996	4.5	29	10	2006	23	26	17	Action
54	75	996	4.5	29	10	2006	23	26	17	Crime
55	75	996	4.5	29	10	2006	23	26	17	Drama
56	75	996	4.5	29	10	2006	23	26	17	Thriller
57	75	1036	4.0	29	10	2006	23	24	45	Action
58	75	1036	4.0	29	10	2006	23	24	45	Crime
59	75	1036	4.0	29	10	2006	23	24	45	Thriller
60	75	1127	3.5	29	10	2006	23	28	52	Action
61	75	1127	3.5	29	10	2006	23	28	52	Adventure
62	75	1127	3.5	29	10	2006	23	28	52	Sci-Fi
63	75	1127	3.5	29	10	2006	23	28	52	Thriller
64	75	1215	4.5	29	10	2006	23	28	56	Action
65	75	1215	4.5	29	10	2006	23	28	56	Adventure
66	75	1215	4.5	29	10	2006	23	28	56	Comedy
67	75	1215	4.5	29	10	2006	23	28	56	Fantasy
68	75	1215	4.5	29	10	2006	23	28	56	Horror
69	75	1233	4.0	29	10	2006	23	30	5	Action
70	75	1233	4.0	29	10	2006	23	30	5	Drama
71	75	1233	4.0	29	10	2006	23	30	5	War
72	75	1304	2.5	29	10	2006	23	16	56	Action
